account DFP id,account name,type,adserver id,adserver username,company id,account DFP name,status
15941899,Cahoon & Cross - Nationwide Mid-Atlantic (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,Cahoon & Cross - Nationwide Mid-Atlantic,Active
16048579,Marion Montgomery - MD Anderson (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,Marion Montgomery - MD Anderson,Active
16209139,Tibbets Media - Carter Blood Care (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,Tibbets Media - Carter Blood Care,Active
16429099,Dalton Agency - McDonalds (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,Dalton Agency - McDonalds,Active
16577779,KRQE (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,KRQE,Active
16721539,RMM Default (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,RMM Default,Active
17202019,Southern Media - Anderson Subaru (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,Southern Media - Anderson Subaru,Active
18682099,IDEA Public Schools (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,IDEA Public Schools,Active
18882979,Smith & Jones - Worker?s Credit Union (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,Smith & Jones - Worker?s Credit Union,Active
18892819,A&K Marketing - Matthews Wall Anchor Service (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,A&K Marketing - Matthews Wall Anchor Service,Active
20363299,MEC Global - New York - AT&T (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,MEC Global - New York - AT&T,Active
20975419,Deutsch - PNC Bank (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,Deutsch - PNC Bank,Active
22225459,M&C Saatchi Mobile Ltd - The Economist (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,M&C Saatchi Mobile Ltd - The Economist,Active
22491019,LIN Mobile - Golfsmith (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,LIN Mobile - Golfsmith,Active
25131019,Group West Advertising - New Mexico Ford Dealers (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,Group West Advertising - New Mexico Ford Dealers,Active
25236379,Beaver Toyota Scion of Santa Fe (Advertiser),Advertiser,4206,harshal.limaye@linmedia.com,119,Beaver Toyota Scion of Santa Fe,Active
28085404,Forum Credit Union (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,Forum Credit Union,Inactive
29421364,Four Seasons Heating and Air Conditioning (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,Four Seasons Heating and Air Conditioning,Inactive
29696164,Comcast Cable Comm (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,Comcast Cable Comm,Active
39232204,Open X (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,Open X,Inactive
43848364,"Greenstein & Milbauer, LLP (Advertiser)",Advertiser,45604844,harshal.limaye@linmedia.com,2,"“Greenstein & Milbauer, LLP”",Inactive
45726844,2013 HealthTrax (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,2013 HealthTrax,Active
50068204,Prudential (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,Prudential,Inactive
51969124,Time Warner Cable Live Stream Campaign (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,Time Warner Cable Live Stream Campaign,Active
53106604,Swope & Sipe Attorneys (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,Swope & Sipe Attorneys,Inactive
54073204,OrthoIndy (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,OrthoIndy,Inactive
56769844,Undertone (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,Undertone,Inactive
57508804,ALLSTATE (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,ALLSTATE,Active
57772324,3 Interactive (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,3 Interactive,Active
57816964,Culligan Kaats (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,Culligan Kaats,Active
59479684,CT Lottery (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,CT Lottery,Inactive
59532724,United Bank (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,United Bank,Active
59930404,Stone Academy (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,Stone Academy,Inactive
60229804,IDI (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,IDI,Inactive
60354244,AEG LIVE (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,AEG LIVE,Inactive
60784924,AMERICAN CAREER COLLEGE (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,AMERICAN CAREER COLLEGE,Active
60938644,Am. Senior Communities (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,Am. Senior Communities,Inactive
61640644,Verve (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,Verve,Inactive
62472244,Time Warner Cable (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,Time Warner Cable,Inactive
63190324,Express Auto (Advertiser),Advertiser,45604844,harshal.limaye@linmedia.com,2,Express Auto,Inactive
19545462,7 Degrees Marketing (Agency),Agency,5678,naresh.pokhriyal@mediaagility.com,1,7 Degrees Marketing,Active
24659502,WLIN | LINTV McDonalds (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | LINTV McDonalds,Active
24659502,WLIN | LINTV McDonalds (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | LINTV McDonalds,Active
25870542,WLIN | LINTV USAA Military Millennials Mobile (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | LINTV USAA Military Millennials Mobile,Active
25870542,WLIN | LINTV USAA Military Millennials Mobile (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | LINTV USAA Military Millennials Mobile,Active
26561262,WLIN | Concordia University (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | Concordia University,Active
26561262,WLIN | Concordia University (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Concordia University,Active
26902062,WLIN | Carter Blood Care (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | Carter Blood Care,Active
26902062,The Healthcare Company (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Carter Blood Care,Active
26931702,WLIN | IDEA Public Schools (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | IDEA Public Schools,Active
26931702,WLIN | IDEA Public Schools (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | IDEA Public Schools,Active
27484902,WLIN | Anderson Subaru (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | Anderson Subaru,Active
27484902,WLIN | Anderson Subaru (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Anderson Subaru,Active
28013982,WLIN | New Mexico Ford Dealers (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | New Mexico Ford Dealers,Active
28013982,WLIN | New Mexico Ford Dealers (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | New Mexico Ford Dealers,Active
28020822,WLIN | AMD Tech Influencers (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | AMD Tech Influencers,Active
28020822,WLIN | AMD Tech Influencers (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | AMD Tech Influencers,Active
28876182,WLIN | Beaver Toyota Scion of Santa Fe (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | Beaver Toyota Scion of Santa Fe,Active
28876182,WLIN | Beaver Toyota Scion of Santa Fe (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Beaver Toyota Scion of Santa Fe,Active
29080302,WLIN | Nationwide (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | Nationwide,Active
29080302,WLIN | Nationwide (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Nationwide,Active
29087742,WLIN | Anderson Regional Medical Center (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | Anderson Regional Medical Center,Active
29087742,WLIN | Anderson Regional Medical Center (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | Anderson Regional Medical Center,Active
29362902,WLIN | AAA Insurance (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | AAA Insurance,Active
29362902,WLIN | AAA Insurance (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,130,WLIN | AAA Insurance,Active
29363022,WLIN | Southwest Medical Associates (Advertiser),Advertiser,5678,naresh.pokhriyal@mediaagility.com,1,WLIN | Southwest Medical Associates,Active
