dma_code,dma_name,latitude,longitude
662,"Abilene-Sweetwater, TX",32.404348,-99.8293625
525,"Albany, GA",31.5279975,-83.7121235
532,"Albany-Schenectady-Troy, NY",43.049266,-73.8438695
790,"Albuquerque-Santa Fe, NM",34.4952755,-106.526644
644,"Alexandria, LA",31.322628,-92.61795
583,"Alpena, MI",44.856283,-83.5733565
634,"Amarillo, TX",35.4797235,-102.063253
743,"Anchorage, AK",61.2180556,-149.9002778
524,"Atlanta, GA",33.9253975,-84.3335135
520,"Augusta, GA",33.2388275,-81.9064505
635,"Austin, TX",30.331427,-98.0272995
800,"Bakersfield, CA",35.291006,-119.05459
512,"Baltimore, MD",38.972515,-76.506469
537,"Bangor, ME",45.3356845,-68.751059
716,"Baton Rouge, LA",30.4278165,-91.140946
692,"Beaumont-Port Arthur, TX",30.3724315,-94.1330155
821,"Bend, OR",44.001647,-120.9495205
756,"Billings, MT",45.8919365,-108.195493
746,"Biloxi-Gulfport, MS",30.651123,-88.868398
502,"Binghamton, NY",42.2963485,-75.4931575
630,"Birmingham (Anniston and Tuscaloosa), AL",33.5031,-86.869635
559,"Bluefield-Beckley-Oak Hill, WV",37.6001745,-80.978172
757,"Boise, ID",43.632029,-117.0232835
506,"Boston, MA (Manchester, NH)",42.501023,-71.460493
736,"Bowling Green, KY",37.0341725,-85.99226
514,"Buffalo, NY",42.42369,-78.6800405
523,"Burlington, VT-Plattsburgh, NY",44.071301,-73.0368725
754,"Butte-Bozeman, MT",45.979098,-112.3609785
767,"Casper-Riverton, WY",43.412869,-107.4728085
637,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",42.331217,-91.7493605
648,"Champaign & Springfield-Decatur, IL",39.9606635,-89.0627055
519,"Charleston, SC",33.181204,-80.042272
564,"Charleston-Huntington, WV",38.376208,-82.039491
517,"Charlotte, NC",35.477172,-80.76953
584,"Charlottesville, VA",38.1802125,-78.4610955
575,"Chattanooga, TN",35.204094,-84.7884855
759,"Cheyenne, WY-Scottsbluff, NE",41.8048825,-104.3206125
602,"Chicago, IL",41.615065,-87.8455645
868,"Chico-Redding, CA",40.3359675,-122.350166
515,"Cincinnati, OH",39.0338655,-84.357866
598,"Clarksburg-Weston, WV",38.93329,-80.309074
510,"Cleveland-Akron (Canton), OH",41.0958885,-81.71123
752,"Colorado Springs-Pueblo, CO",38.061384,-104.0271685
546,"Columbia, SC",33.896366,-80.9102195
604,"Columbia-Jefferson City, MO",38.8629485,-92.26804
522,"Columbus, GA",32.2969995,-84.8353915
535,"Columbus, OH",39.9719715,-82.734151
673,"Columbus-Tupelo-West Point, MS",33.9623585,-88.939003
600,"Corpus Christi, TX",27.6933695,-97.8595055
623,"Dallas-Ft. Worth, TX",32.702473,-97.098903
682,"Davenport, IA-Rock Island-Moline, IL",41.5680725,-90.4412815
542,"Dayton, OH",40.1392235,-84.3547855
751,"Denver, CO",40.9981425,-108.925452
679,"Des Moines-Ames, IA",41.8822865,-93.6950785
505,"Detroit, MI",42.7069935,-83.2883905
606,"Dothan, AL",31.2429535,-85.412413
676,"Duluth, MN-Superior, WI",47.169647,-91.7104225
765,"El Paso, TX",31.840946,-105.6619505
565,"Elmira, NY",42.0595215,-77.1441155
516,"Erie, PA",41.8794375,-79.717601
801,"Eugene, OR",43.6937855,-123.1256445
802,"Eureka, CA",41.001389,-123.908896
649,"Evansville, IN",37.8233245,-87.5662395
745,"Fairbanks, AK",64.8377778,-147.7163889
724,"Fargo-Valley City, ND",47.659799,-97.1383975
513,"Flint-Saginaw-Bay City, MI",43.643882,-83.847331
866,"Fresno-Visalia, CA",36.846642,-119.613123
571,"Ft. Myers-Naples, FL",26.5720265,-81.6230635
670,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",35.5031505,-94.202877
509,"Ft. Wayne, IN",41.0334615,-85.1430895
592,"Gainesville, FL",29.4735495,-82.7294775
798,"Glendive, MT",46.836368,-105.065505
773,"Grand Junction-Montrose, CO",38.425681,-108.2153545
563,"Grand Rapids-Kalamazoo-Battle Creek, MI",42.7892405,-85.624075
755,"Great Falls, MT",47.838823,-109.9362935
658,"Green Bay-Appleton, WI",44.7644785,-88.2017
518,"Greensboro-High Point-Winston Salem, NC",35.994693,-80.4077355
545,"Greenville-New Bern-Washington, NC",35.342169,-76.9754245
567,"Greenville-Spartanburg, SC-Asheville, NC-Anderson,SC",35.0526635,-82.697701
647,"Greenwood-Greenville, MS",33.585109,-90.4836365
636,"Harlingen-Weslaco-Brownsville-McAllen, TX",26.311933,-98.157698
566,"Harrisburg-Lancaster-Lebanon-York, PA",40.2836345,-76.882001
569,"Harrisonburg, VA",38.4231645,-79.0679395
533,"Hartford & New Haven, CT",41.612664,-72.659358
710,"Hattiesburg-Laurel, MS",31.5670435,-89.2449615
766,"Helena, MT",47.1878,-112.3319335
744,"Honolulu, HI",21.3069444,-157.8583333
618,"Houston, TX",29.606092,-95.6464085
691,"Huntsville-Decatur (Florence), AL",34.7953925,-86.8583345
758,"Idaho Falls-Pocatello, ID",43.641669,-112.6765315
527,"Indianapolis, IN",39.84288,-86.1652105
718,"Jackson, MS",32.1874215,-90.485657
639,"Jackson, TN",35.5707925,-88.530231
561,"Jacksonville, FL",30.427575,-82.006576
574,"Johnstown-Altoona, PA",40.673069,-78.328162
734,"Jonesboro, AR",36.0989355,-91.1294975
603,"Joplin, MO-Pittsburg, KS",37.2695535,-95.0098365
747,"Juneau, AK",58.3019444,-134.4197222
616,"Kansas City, MO",39.3042305,-94.208994
557,"Knoxville, TN",36.112655,-84.0422025
702,"La Crosse-Eau Claire, WI",44.313217,-91.197266
582,"Lafayette, IN",40.3451955,-87.113428
642,"Lafayette, LA",30.2379905,-92.1119525
643,"Lake Charles, LA",30.2390885,-93.2619725
551,"Lansing, MI",42.4074535,-84.602594
749,"Laredo, TX",27.388155,-99.5051385
839,"Las Vegas, NV",37.082759,-116.121556
541,"Lexington, KY",37.584915,-83.9929735
558,"Lima, OH",40.782607,-84.138823
722,"Lincoln & Hastings-Kearney, NE",41.282784,-99.257628
693,"Little Rock-Pine Bluff, AR",34.647081,-92.670434
803,"Los Angeles, CA",35.132844,-116.858513
529,"Louisville, KY",38.1524665,-85.7750445
651,"Lubbock, TX",33.4181475,-101.791018
503,"Macon, GA",32.6218675,-83.3190475
669,"Madison, WI",43.370746,-89.9627745
737,"Mankato, MN",43.876563,-94.4376415
