Name,DFP Property Name,Ad unit ID 1,NetworkCode,Network Username,Status,Company Id,Ad unit ID 2 <SEP> Ad unit 2Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(null),(null),58316142,5678,naresh.pokhriyal@mediaagility.com,Active,1,58316262<SEP>mobileapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KASA-TV,lin.kasa,32577222,5678,naresh.pokhriyal@mediaagility.com,Active,1,54699942<SEP>mobilesite,57908742<SEP>mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHON-TV,lin.khon,54540462,5678,naresh.pokhriyal@mediaagility.com,Active,1,54774462<SEP>mobilesite,54775422<SEP>mobileapp,54915822<SEP>mobileredirect.aspx,55276902<SEP>mobile,57730782<SEP>mobilelocalnews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIMT-TV,lin.kimt,54536382,5678,naresh.pokhriyal@mediaagility.com,Active,1,54767742<SEP>mobilesite,54767862<SEP>mobileapp,54821502<SEP>mobileredirect.aspx,55267902<SEP>mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOIN -TV,lin.koin,54545982,5678,naresh.pokhriyal@mediaagility.com,Active,1,54778302<SEP>mobilesite,54779262<SEP>mobileapp,54914622<SEP>mobileredirect.aspx,55288662<SEP>mobile,58608702<SEP>mobileapp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRQE-TV,lin.krqe,32577102,5678,naresh.pokhriyal@mediaagility.com,Active,1,51758982<SEP>mobileapp,51776142<SEP>mobileweb,51776502<SEP>mobilesite,58654902<SEP>mobileapp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSNT-TV,lin.ksnt,54547302,5678,naresh.pokhriyal@mediaagility.com,Active,1,54780222<SEP>mobilesite,54781182<SEP>mobileapp,54962502<SEP>mobileredirect.aspx,55272822<SEP>mobile,58723902<SEP>mobileapp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSNW-TV,lin.ksnw,54539022,5678,naresh.pokhriyal@mediaagility.com,Active,1,54772422<SEP>mobilesite,54773502<SEP>mobileapp,54917622<SEP>mobileredirect.aspx,55277862<SEP>mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXAN-TV,lin.kxan,32575062,5678,naresh.pokhriyal@mediaagility.com,Active,1,51918942<SEP>mobileapp,51919902<SEP>mobilesite,56926302<SEP>mobile,57081222<SEP>mobile/detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALA-TV,lin.wala,32575182,5678,naresh.pokhriyal@mediaagility.com,Active,1,51920862<SEP>mobileapp,51921822<SEP>mobilesite,58447182<SEP>mobile_news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WANE-TV,lin.wane,32576022,5678,naresh.pokhriyal@mediaagility.com,Active,1,51922782<SEP>mobileapp,51923742<SEP>mobilesite,57037662<SEP>mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAVY-TV,lin.wavy,32574822,5678,naresh.pokhriyal@mediaagility.com,Active,1,51924702<SEP>mobileapp,51925662<SEP>mobilesite,56926662<SEP>mobile,57227862<SEP>mobile/detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDTN-TV,lin.wdtn,32575662,5678,naresh.pokhriyal@mediaagility.com,Active,1,51926622<SEP>mobileapp,51927582<SEP>mobilesite,57075462<SEP>mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIAT-TV,lin.wiat,54381822,5678,naresh.pokhriyal@mediaagility.com,Active,1,54765222<SEP>mobilesite,54765342<SEP>mobileapp,54933942<SEP>mobileredirect.aspx,55288422<SEP>mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISH-TV,lin.wish,32574462,5678,naresh.pokhriyal@mediaagility.com,Active,1,51928542<SEP>mobileapp,51929502<SEP>mobilesite,56980422<SEP>mobile,58731942<SEP>mobileapp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIVB-TV,lin.wivb,32575542,5678,naresh.pokhriyal@mediaagility.com,Active,1,51930462<SEP>mobileapp,51931542<SEP>mobilesite,56960622<SEP>mobile,57486942<SEP>mobile/detail,58600302<SEP>mobilesite/news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJCL-TV,lin.wjcl,54544662,5678,naresh.pokhriyal@mediaagility.com,Active,1,54776382<SEP>mobilesite,54777342<SEP>mobileapp,54960582<SEP>mobileredirect.aspx,55288542<SEP>mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKBN-TV,lin.wkbn,54535062,5678,naresh.pokhriyal@mediaagility.com,Active,1,54769662<SEP>mobilesite,54769782<SEP>mobileapp,54917982<SEP>mobileredirect.aspx,55123782<SEP>mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLFI-TV,lin.wlfi,32575902,5678,naresh.pokhriyal@mediaagility.com,Active,1,51932502<SEP>mobileapp,51933462<SEP>mobilesite,57038502<SEP>mobile,32656902<SEP>mobiletest,54381582<SEP>mobilesite,54381702<SEP>mobileapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLIN-TEST,lin.wlintest,54440262,5678,naresh.pokhriyal@mediaagility.com,Active,1,54459942<SEP>mobileapp,54639942<SEP>mobilesite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLUK-TV,lin.wluk,32575302,5678,naresh.pokhriyal@mediaagility.com,Active,1,51934422<SEP>mobileapp,51935382<SEP>mobilesite,56876022<SEP>mobile,58724862<SEP>mobileapp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOOD-TV,lin.wood,32574702,5678,naresh.pokhriyal@mediaagility.com,Active,1,51936582<SEP>mobileapp,51937542<SEP>mobilesite,57067062<SEP>mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOTV,lin.wotv,32576742,5678,naresh.pokhriyal@mediaagility.com,Active,1,54699462<SEP>mobilesite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPRI-TV,lin.wpri,32574942,5678,naresh.pokhriyal@mediaagility.com,Active,1,51938502<SEP>mobileapp,51939462<SEP>mobilesite,56976102<SEP>mobile,57245262<SEP>mobile/detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTHI-TV,lin.wthi,32575782,5678,naresh.pokhriyal@mediaagility.com,Active,1,51944742<SEP>mobileapp,51945702<SEP>mobilesite,57086262<SEP>mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTNH-TV,lin.wtnh,32574582,5678,naresh.pokhriyal@mediaagility.com,Active,1,51940902<SEP>mobileapp,51941862<SEP>mobilesite,57291462<SEP>mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWLP-TV,lin.wwlp,32575422,5678,naresh.pokhriyal@mediaagility.com,Active,1,51942822<SEP>mobileapp,51943782<SEP>mobilesite,56972622<SEP>mobile,57331422<SEP>mobile/detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
