zip,primary_city,state,area_codes,country
79532,Loraine,TX,325,US
79533,Lueders,TX,325,US
79534,Mc Caulley,TX,325,US
79535,Maryneal,TX,325,US
79536,Merkel,TX,325,US
79537,Nolan,TX,325,US
79538,Novice,TX,325,US
79539,O Brien,TX,940,US
79540,Old Glory,TX,940,US
79541,Ovalo,TX,325,US
79543,Roby,TX,325,US
79544,Rochester,TX,940,US
79545,Roscoe,TX,325,US
79546,Rotan,TX,325,US
79547,Rule,TX,940,US
79548,Rule,TX,940,US
79549,Snyder,TX,325,US
79550,Snyder,TX,325,US
79553,Stamford,TX,325,US
79556,Sweetwater,TX,325,US
79560,Sylvester,TX,325,US
79561,Trent,TX,325,US
79562,Tuscola,TX,325,US
79563,Tye,TX,325,US
79565,Westbrook,TX,"3,25,432",US
79566,Wingate,TX,,US
79567,Winters,TX,325,US
79601,Abilene,TX,325,US
79602,Abilene,TX,325,US
79603,Abilene,TX,325,US
79604,Abilene,TX,325,US
79605,Abilene,TX,325,US
79606,Abilene,TX,325,US
79607,Dyess Afb,TX,325,US
79608,Abilene,TX,325,US
79697,Abilene,TX,325,US
79698,Abilene,TX,325,US
79699,Abilene,TX,325,US
79701,Midland,TX,432,US
79702,Midland,TX,432,US
79703,Midland,TX,432,US
79704,Midland,TX,432,US
79705,Midland,TX,432,US
79706,Midland,TX,432,US
79707,Midland,TX,432,US
79708,Midland,TX,432,US
79710,Midland,TX,432,US
79711,Midland,TX,432,US
79712,Midland,TX,432,US
79713,Ackerly,TX,"8,06,432",US
79714,Andrews,TX,432,US
79718,Balmorhea,TX,432,US
79719,Barstow,TX,432,US
79720,Big Spring,TX,432,US
79721,Big Spring,TX,432,US
79730,Coyanosa,TX,432,US
79731,Crane,TX,432,US
79733,Forsan,TX,432,US
79734,Fort Davis,TX,432,US
79735,Fort Stockton,TX,432,US
79738,Gail,TX,806,US
79739,Garden City,TX,432,US
79740,Girvin,TX,432,US
79741,Goldsmith,TX,432,US
79742,Grandfalls,TX,432,US
79743,Imperial,TX,432,US
79744,Iraan,TX,432,US
79745,Kermit,TX,432,US
79748,Knott,TX,432,US
79749,Lenorah,TX,432,US
79752,Mc Camey,TX,432,US
79754,Mentone,TX,432,US
79755,Midkiff,TX,432,US
79756,Monahans,TX,432,US
79758,Gardendale,TX,432,US
79759,Notrees,TX,432,US
79760,Odessa,TX,432,US
79761,Odessa,TX,432,US
79762,Odessa,TX,"2,14,432",US
79763,Odessa,TX,432,US
79764,Odessa,TX,432,US
79765,Odessa,TX,"9,15,432",US
