zip,primary_city,state,area_codes,country
501,Holtsville,NY,631,US
544,Holtsville,NY,631,US
1001,Agawam,MA,413,US
1002,Amherst,MA,413,US
1003,Amherst,MA,413,US
1004,Amherst,MA,413,US
1005,Barre,MA,978,US
1007,Belchertown,MA,413,US
1008,Blandford,MA,413,US
1009,Bondsville,MA,413,US
1010,Brimfield,MA,413,US
1011,Chester,MA,413,US
1012,Chesterfield,MA,413,US
1013,Chicopee,MA,413,US
1014,Chicopee,MA,413,US
1020,Chicopee,MA,413,US
1021,Chicopee,MA,413,US
1022,Chicopee,MA,413,US
1026,Cummington,MA,413,US
1027,Easthampton,MA,413,US
1028,East Longmeadow,MA,413,US
1029,East Otis,MA,413,US
1030,Feeding Hills,MA,413,US
1031,Gilbertville,MA,413,US
1032,Goshen,MA,413,US
1033,Granby,MA,413,US
1034,Granville,MA,413,US
1035,Hadley,MA,413,US
1036,Hampden,MA,413,US
1037,Hardwick,MA,413,US
1038,Hatfield,MA,413,US
1039,Haydenville,MA,413,US
1040,Holyoke,MA,413,US
1041,Holyoke,MA,413,US
1050,Huntington,MA,413,US
1053,Leeds,MA,413,US
1054,Leverett,MA,413,US
1056,Ludlow,MA,413,US
1057,Monson,MA,413,US
1059,North Amherst,MA,413,US
1060,Northampton,MA,413,US
1061,Northampton,MA,413,US
1062,Florence,MA,413,US
1063,Northampton,MA,413,US
1066,North Hatfield,MA,413,US
1068,Oakham,MA,508774,US
1069,Palmer,MA,413,US
1070,Plainfield,MA,413,US
1071,Russell,MA,413,US
1072,Shutesbury,MA,413,US
1073,Southampton,MA,413,US
1074,South Barre,MA,978,US
1075,South Hadley,MA,413,US
1077,Southwick,MA,413,US
1079,Thorndike,MA,413,US
1080,Three Rivers,MA,413,US
1081,Wales,MA,413,US
1082,Ware,MA,413,US
1083,Warren,MA,413,US
1084,West Chesterfield,MA,413,US
1085,Westfield,MA,413,US
1086,Westfield,MA,413,US
1088,West Hatfield,MA,413,US
1089,West Springfield,MA,413,US
1090,West Springfield,MA,413,US
1092,West Warren,MA,413,US
1093,Whately,MA,413,US
1094,Wheelwright,MA,413,US
1095,Wilbraham,MA,413,US
1096,Williamsburg,MA,413,US
1097,Woronoco,MA,413,US
1098,Worthington,MA,413,US
1101,Springfield,MA,413,US
1102,Springfield,MA,413,US
1103,Springfield,MA,413,US
1104,Springfield,MA,413,US
1105,Springfield,MA,413,US
1106,Longmeadow,MA,413,US
1107,Springfield,MA,860413,US
